coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
2342,Sri Ranganathar Institute Of Engineering And Technology,163.405,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
1128,R M K College Of Engineering And Technology (Autonomous),184.82,FALSE,FALSE,58,Thiruvallur,TRUE,TRUE,TRUE
1216,Saveetha Engineering College (Autonomous),184.58,FALSE,FALSE,58,Kancheepuram,FALSE,TRUE,FALSE
4971,St. Xavier Catholic College Of Engineering,184.46,FALSE,FALSE,58,Kanyakumari,FALSE,TRUE,FALSE
2369,Government College Of Engineering,184.205,FALSE,FALSE,58,Dharmapuri,FALSE,TRUE,FALSE
5010,Anna University Regional Campus - Madurai,184.01,FALSE,FALSE,58,Madurai,FALSE,TRUE,FALSE
2608,M Kumarasamy College Of Engineering (Autonomous),183.955,FALSE,FALSE,58,Karur,FALSE,TRUE,FALSE
4020,Anna University Regional Campus - Tirunelveli,183.615,FALSE,FALSE,58,Tirunelveli,FALSE,TRUE,FALSE
2656,Builders Engineering College,183.38,FALSE,FALSE,58,Tiruppur,FALSE,TRUE,FALSE
5910,P S N A Colllege Of Engineering And Technology,182.5,FALSE,FALSE,59,Dindigul,FALSE,TRUE,FALSE
1013,University College Of Engineering,182.32,FALSE,FALSE,59,Villupuram,FALSE,TRUE,FALSE
2622,V S B Engineering College,182.08,FALSE,FALSE,59,Karur,FALSE,TRUE,FALSE
3908,Mount Zion College Of Engineering And Technology,163.185,FALSE,FALSE,68,Pudukkottai,TRUE,TRUE,TRUE
4023,University College Of Engineering,181.98,FALSE,FALSE,59,Kanyakumari,FALSE,TRUE,FALSE
2763,Akshaya College Of Engineering And Technology,163.175,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
3804,Arasu Engineering  College,163.11,FALSE,FALSE,68,Thanjavur,TRUE,TRUE,TRUE
2723,Velalar College Of Engineering And Technology (Autonomous),181.79,FALSE,FALSE,59,Erode,FALSE,TRUE,FALSE
5009,Government College Of Engineering,181.415,FALSE,FALSE,59,Theni,FALSE,TRUE,FALSE
3803,Anjalai Ammal-Mahalingam Engineering College,181.065,FALSE,FALSE,59,Thiruvarur,FALSE,TRUE,FALSE
2749,Easa College Of Engineering And Technology,163.04,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
4955,Francis Xavier Engineering College (Autonomous),180.44,FALSE,FALSE,60,Tirunelveli,FALSE,TRUE,FALSE
5904,K L N College Of Engineering (Autonomous),180.065,FALSE,FALSE,60,Sivagangai,FALSE,TRUE,FALSE
2653,Knowledge Institute Of Technology,180,FALSE,FALSE,60,Salem,FALSE,TRUE,FALSE
3456,K S K College Of Engineering And Technology,162.865,FALSE,FALSE,69,Thanjavur,TRUE,TRUE,TRUE
2343,Indian Institute Of Handloom Technology,179.88,FALSE,FALSE,60,Salem,FALSE,FALSE,FALSE
3801,A V C College Of Engineering,179.845,FALSE,FALSE,60,Mayiladuthurai,FALSE,TRUE,FALSE
1140,Jeppiaar Institute Of Technology,179.7,FALSE,FALSE,60,Kancheepuram,FALSE,TRUE,FALSE
1237,Velammal Institute Of Technology,179.5,FALSE,FALSE,60,Thiruvallur,TRUE,TRUE,TRUE
4959,Kamaraj College Of Engineering And Technology (Autonomous),179.165,FALSE,FALSE,60,Virudhunagar,FALSE,TRUE,FALSE
1335,Sri Krishna Institute Of Technology,162.78,FALSE,FALSE,69,Chennai,TRUE,TRUE,TRUE
1116,Sri Venkateswara College Of Engineering And Technology,178.5,FALSE,FALSE,61,Thiruvallur,TRUE,TRUE,TRUE
1106,Jaya Engineering College,162.475,FALSE,FALSE,69,Chennai,TRUE,TRUE,TRUE
2607,K S Rangasamy College Of Technology (Autonomous),178.5,FALSE,FALSE,61,Namakkal,FALSE,TRUE,FALSE
1014,University College Of Engineering,177.89,FALSE,FALSE,61,Villupuram,FALSE,TRUE,FALSE
4954,Dr. Sivanthi Aditanar College Of Engineering,177.65,FALSE,FALSE,61,Thoothukudi,FALSE,TRUE,FALSE
5022,University College Of Engineering,177.425,FALSE,FALSE,61,Dindigul,FALSE,TRUE,FALSE
1413,Sri Venkateswaraa College Of Technology,177.315,FALSE,FALSE,61,Kancheepuram,FALSE,TRUE,FALSE
3806,E G S Pillay  Engineering College (Autonomous),177.27,FALSE,FALSE,61,Nagapattinam,FALSE,TRUE,FALSE
2601,Adhiyamaan  College Of Engineering (Autonomous),177.25,FALSE,FALSE,61,Krishnagiri,FALSE,TRUE,FALSE
1526,Sri Krishna College Of Engineering,177.13,FALSE,FALSE,61,Ranipet,FALSE,TRUE,FALSE
3821,A R J College Of Engineering And Technology,177.045,FALSE,FALSE,61,Thiruvarur,FALSE,TRUE,FALSE
1411,Madha Engineering College,161.93,FALSE,FALSE,69,Chennai,TRUE,TRUE,TRUE
1015,University College Of Engineering,176.625,FALSE,FALSE,62,Thiruvannamalai,FALSE,TRUE,FALSE
1233,Adhi College Of Engineering And Technology,176.485,FALSE,FALSE,62,Kancheepuram,FALSE,TRUE,FALSE
1427,Sri Krishna Engineering College,161.245,FALSE,FALSE,69,Chennai,TRUE,TRUE,TRUE
2620,Vivekanandha College Of Engineering For Women (Autonomous),176.175,FALSE,FALSE,62,Namakkal,FALSE,TRUE,FALSE
1110,Prathyusha Engineering College,176.145,FALSE,FALSE,62,Thiruvallur,TRUE,TRUE,TRUE
4965,P S R  Engineering College (Autonomous),176.065,FALSE,FALSE,62,Virudhunagar,FALSE,TRUE,FALSE
3825,St. Josephs College Of Engineering And Technology,160.99,FALSE,FALSE,70,Thanjavur,TRUE,TRUE,TRUE
